,Continent,Year,Flow
0,Africa,1990,12188903.0
1,Africa,1995,13160984.0
2,Africa,2000,12891633.0
3,Africa,2005,14019814.0
4,Africa,2010,16958641.0
5,Africa,2015,22464663.0
6,Africa,2019,25787205.0
7,America,1990,15833042.0
8,America,1995,19027119.0
9,America,2000,22545166.0
10,America,2005,24969983.0
11,America,2010,28764124.0
12,America,2015,31622946.0
13,America,2019,34294984.0
14,Asia,1990,12252535.0
15,Asia,1995,12351700.0
16,Asia,2000,12703615.0
17,Asia,2005,13494603.0
18,Asia,2010,14615031.0
19,Asia,2015,15383907.0
20,Asia,2019,15702797.0
21,Europe,1990,24202931.0
22,Europe,1995,25956505.0
23,Europe,2000,27630165.0
24,Europe,2005,30799233.0
25,Europe,2010,34483732.0
26,Europe,2015,36781187.0
27,Europe,2019,39826587.0
28,Oceania,1990,2284587.0
29,Oceania,1995,2432469.0
30,Oceania,2000,2614175.0
31,Oceania,2005,2954859.0
32,Oceania,2010,3492573.0
33,Oceania,2015,3949865.0
34,Oceania,2019,4386417.0
