,Region,Year,Flow
0,Australia_/_New_Zealand,1990,2180742.0
1,Australia_/_New_Zealand,1995,2316813.0
2,Australia_/_New_Zealand,2000,2487457.0
3,Australia_/_New_Zealand,2005,2823956.0
4,Australia_/_New_Zealand,2010,3367180.0
5,Australia_/_New_Zealand,2015,3821601.0
6,Australia_/_New_Zealand,2019,4253804.0
7,Caribbean,1990,471989.0
8,Caribbean,1995,519563.0
9,Caribbean,2000,569674.0
10,Caribbean,2005,596135.0
11,Caribbean,2010,601473.0
12,Caribbean,2015,643257.0
13,Caribbean,2019,658283.0
14,Central_America,1990,818198.0
15,Central_America,1995,568765.0
16,Central_America,2000,540173.0
17,Central_America,2005,603667.0
18,Central_America,2010,856357.0
19,Central_America,2015,914071.0
20,Central_America,2019,936589.0
21,Central_Asia,1990,3376050.0
22,Central_Asia,1995,3023485.0
23,Central_Asia,2000,2699840.0
24,Central_Asia,2005,2653823.0
25,Central_Asia,2010,2598203.0
26,Central_Asia,2015,2617763.0
27,Central_Asia,2019,2685817.0
28,Eastern_Africa,1990,2646216.0
29,Eastern_Africa,1995,2160958.0
30,Eastern_Africa,2000,2082153.0
31,Eastern_Africa,2005,1983634.0
32,Eastern_Africa,2010,2121565.0
33,Eastern_Africa,2015,3054869.0
34,Eastern_Africa,2019,3692803.0
35,Eastern_Asia,1990,1778513.0
36,Eastern_Asia,1995,2096451.0
37,Eastern_Asia,2000,2485993.0
38,Eastern_Asia,2005,3032903.0
39,Eastern_Asia,2010,3569920.0
40,Eastern_Asia,2015,3785069.0
41,Eastern_Asia,2019,4037658.0
42,Eastern_Europe,1990,11476943.0
43,Eastern_Europe,1995,11038255.0
44,Eastern_Europe,2000,10469382.0
45,Eastern_Europe,2005,10147963.0
46,Eastern_Europe,2010,9854984.0
47,Eastern_Europe,2015,10167292.0
48,Eastern_Europe,2019,10351358.0
49,Melanesia,1990,37182.0
50,Melanesia,1995,38952.0
51,Melanesia,2000,38477.0
52,Melanesia,2005,41987.0
53,Melanesia,2010,44187.0
54,Melanesia,2015,49388.0
55,Melanesia,2019,51239.0
56,Micronesia,1990,44753.0
57,Micronesia,1995,52191.0
58,Micronesia,2000,61272.0
59,Micronesia,2005,60846.0
60,Micronesia,2010,53595.0
61,Micronesia,2015,52499.0
62,Micronesia,2019,54682.0
63,Middle_Africa,1990,383565.0
64,Middle_Africa,1995,1066011.0
65,Middle_Africa,2000,565909.0
66,Middle_Africa,2005,705001.0
67,Middle_Africa,2010,789038.0
68,Middle_Africa,2015,1172842.0
69,Middle_Africa,2019,1306189.0
70,North_America,1990,12569682.0
71,North_America,1995,15984705.0
72,North_America,2000,19495456.0
73,North_America,2005,21655157.0
74,North_America,2010,24855241.0
75,North_America,2015,27190870.0
76,North_America,2019,28779499.0
77,Northern_Africa,1990,1124100.0
78,Northern_Africa,1995,929078.0
79,Northern_Africa,2000,797978.0
80,Northern_Africa,2005,652071.0
81,Northern_Africa,2010,752504.0
82,Northern_Africa,2015,815819.0
83,Northern_Africa,2019,1222547.0
84,Northern_Europe,1990,3412125.0
85,Northern_Europe,1995,3708100.0
86,Northern_Europe,2000,4085159.0
87,Northern_Europe,2005,4898456.0
88,Northern_Europe,2010,5737471.0
