;Continent;Region;Female_1990;Female_1995;Female_2000;Female_2005;Female_2010;Female_2015;Female_2019;Male_1990;Male_1995;Male_2000;Male_2005;Male_2010;Male_2015;Male_2019
0;Africa;Eastern Africa;2585067;2055009;1915769;1867510;1880727;2927736;3561259;2749775;2184378;2014513;2163626;1955139;2997877;3584531
1;Africa;Middle Africa;383496;1065927;547130;571989;757499;1172648;1305995;420403;1105031;597761;601262;815189;1257895;1414592
2;Africa;Northern Africa;1041191;846403;682356;451874;646892;733027;1138822;1074885;951716;861850;718797;981466;1116136;1518270
3;Africa;Southern Africa;434249;377107;363683;477207;680332;1010056;1127451;704105;587036;538334;664678;973511;1327570;1485265
4;Africa;Western Africa;1919961;2410224;2251244;2135987;2550760;3053809;3203436;2216185;2716548;2565659;2578667;2994211;3480108;3647692
5;Asia;Western Asia;5482232;6003165;6146829;6915764;9368846;12778860;14572877;7862601;8817442;9600079;11784781;18162972;23850739;27440447
6;America;Caribbean;471982;519552;568234;580978;601450;643235;658261;515177;558334;602376;614961;631315;745073;764341
7;America;Central America;818188;568757;522796;482956;856337;914050;936568;791222;556867;523816;485679;854017;901853;925797
8;America;North America;12561644;15970832;19475589;18499971;24795218;27113903;28695674;11740542;15233833;18851072;18136226;23444925;25381519;26564769
9;America;South America;1973161;1954068;1161518;1213894;2450980;2874658;3920509;1987054;1936585;1208995;1249496;2362590;2766648;3831487
10;Asia;Central Asia;3376030;3023469;1251323;958844;1011702;2617752;2685807;2726273;2457943;951869;765178;816337;2417651;2488879
11;Asia;Eastern Asia;1778513;2096451;2297877;1399121;3289965;3785069;4037658;1852471;2104289;2152553;1318267;2743104;3398363;3580767
12;Asia;South-Eastern Asia;1108928;1579989;2264507;2921899;3854867;4568366;4511770;1258765;1706130;2346833;3121159;4194149;5045725;5083826
13;Asia;Southern Asia;5988466;5651273;5184249;4284361;4516378;4412360;4467210;6627975;6057116;5468855;4468191;4774142;4794620;4978136
14;Europe;Eastern Europe;11475929;11037522;9860231;9514831;9853005;10165269;10328352;9976994;9792933;8960494;8632349;8853767;9183741;9396633
15;Europe;Northern Europe;3391583;3676201;4007716;4574053;5645537;6591943;7445916;3091890;3282466;3525727;4121341;5234170;6094021;6978999
16;Europe;Southern Europe;2019998;2731512;3340733;5386781;7520186;7575266;7928207;1795391;2429612;2988797;5000230;6984557;6589719;6869844
17;Europe;Western Europe;7290437;8474372;9693548;9141579;11364382;12318052;13954562;7825719;8672762;9535048;8880840;10658381;11543348;13920213
18;Oceania;Australia / New Zealand;2174973;2309432;328998;0;3342092;3792628;4221673;2242462;2331988;311202;0;3279369;3712520;4104490
19;Oceania;Melanesia;34529;35831;29524;13822;40388;43558;45079;43959;46663;39167;19603;52121;55236;56999
20;Oceania;Micronesia;44753;52191;27062;25075;53595;52499;54682;57094;59299;23996;21543;54619;54027;56008
21;Oceania;Polynesia;21890;24491;15323;15254;27587;26355;26670;28107;30669;20438;19659;32298;30694;31171
