,Region,Year,Flow
0,Australia / New Zealand,1990,2242462.0
1,Australia / New Zealand,1995,2331988.0
2,Australia / New Zealand,2000,311202.0
3,Australia / New Zealand,2010,3279369.0
4,Australia / New Zealand,2015,3712520.0
5,Australia / New Zealand,2019,4104490.0
6,Caribbean,1990,515177.0
7,Caribbean,1995,558334.0
8,Caribbean,2000,602376.0
9,Caribbean,2005,614961.0
10,Caribbean,2010,631315.0
11,Caribbean,2015,745073.0
12,Caribbean,2019,764341.0
13,Central America,1990,791222.0
14,Central America,1995,556867.0
15,Central America,2000,523816.0
16,Central America,2005,485679.0
17,Central America,2010,854017.0
18,Central America,2015,901853.0
19,Central America,2019,925797.0
20,Central Asia,1990,2726273.0
21,Central Asia,1995,2457943.0
22,Central Asia,2000,951869.0
23,Central Asia,2005,765178.0
24,Central Asia,2010,816337.0
25,Central Asia,2015,2417651.0
26,Central Asia,2019,2488879.0
27,Eastern Africa,1990,2749775.0
28,Eastern Africa,1995,2184378.0
29,Eastern Africa,2000,2014513.0
30,Eastern Africa,2005,2163626.0
31,Eastern Africa,2010,1955139.0
32,Eastern Africa,2015,2997877.0
33,Eastern Africa,2019,3584531.0
34,Eastern Asia,1990,1852471.0
35,Eastern Asia,1995,2104289.0
36,Eastern Asia,2000,2152553.0
37,Eastern Asia,2005,1318267.0
38,Eastern Asia,2010,2743104.0
39,Eastern Asia,2015,3398363.0
40,Eastern Asia,2019,3580767.0
41,Eastern Europe,1990,9976994.0
42,Eastern Europe,1995,9792933.0
43,Eastern Europe,2000,8960494.0
44,Eastern Europe,2005,8632349.0
45,Eastern Europe,2010,8853767.0
46,Eastern Europe,2015,9183741.0
47,Eastern Europe,2019,9396633.0
48,Melanesia,1990,43959.0
49,Melanesia,1995,46663.0
50,Melanesia,2000,39167.0
51,Melanesia,2005,19603.0
52,Melanesia,2010,52121.0
53,Melanesia,2015,55236.0
54,Melanesia,2019,56999.0
55,Micronesia,1990,57094.0
56,Micronesia,1995,59299.0
57,Micronesia,2000,23996.0
58,Micronesia,2005,21543.0
59,Micronesia,2010,54619.0
60,Micronesia,2015,54027.0
61,Micronesia,2019,56008.0
62,Middle Africa,1990,420403.0
63,Middle Africa,1995,1105031.0
64,Middle Africa,2000,597761.0
65,Middle Africa,2005,601262.0
66,Middle Africa,2010,815189.0
67,Middle Africa,2015,1257895.0
68,Middle Africa,2019,1414592.0
69,North America,1990,11740542.0
70,North America,1995,15233833.0
71,North America,2000,18851072.0
72,North America,2005,18136226.0
73,North America,2010,23444925.0
74,North America,2015,25381519.0
75,North America,2019,26564769.0
76,Northern Africa,1990,1074885.0
77,Northern Africa,1995,951716.0
78,Northern Africa,2000,861850.0
79,Northern Africa,2005,718797.0
80,Northern Africa,2010,981466.0
81,Northern Africa,2015,1116136.0
82,Northern Africa,2019,1518270.0
83,Northern Europe,1990,3091897.0
84,Northern Europe,1995,3282474.0
85,Northern Europe,2000,3525734.0
86,Northern Europe,2005,4121343.0
87,Northern Europe,2010,5234170.0
88,Northern Europe,2015,6094021.0
89,Northern Europe,2019,6978999.0
90,Polynesia,1990,28107.0
91,Polynesia,1995,30669.0
92,Polynesia,2000,20438.0
93,Polynesia,2005,19659.0
94,Polynesia,2010,32298.0
95,Polynesia,2015,30694.0
96,Polynesia,2019,31171.0
97,South America,1990,1987054.0
98,South America,1995,1936585.0
99,South America,2000,1208995.0
100,South America,2005,1249496.0
101,South America,2010,2362590.0
102,South America,2015,2766648.0
103,South America,2019,3831487.0
104,South-Eastern Asia,1990,1258765.0
105,South-Eastern Asia,1995,1706130.0
106,South-Eastern Asia,2000,2346833.0
107,South-Eastern Asia,2005,3121159.0
108,South-Eastern Asia,2010,4194149.0
109,South-Eastern Asia,2015,5045725.0
110,South-Eastern Asia,2019,5083826.0
111,Southern Africa,1990,704105.0
112,Southern Africa,1995,587036.0
113,Southern Africa,2000,538334.0
114,Southern Africa,2005,664678.0
115,Southern Africa,2010,973511.0
116,Southern Africa,2015,1327570.0
117,Southern Africa,2019,1485265.0
118,Southern Asia,1990,6627975.0
119,Southern Asia,1995,6057116.0
120,Southern Asia,2000,5468855.0
121,Southern Asia,2005,4468208.0
122,Southern Asia,2010,4774142.0
123,Southern Asia,2015,4794620.0
124,Southern Asia,2019,4978136.0
125,Southern Europe,1990,1795391.0
126,Southern Europe,1995,2429612.0
127,Southern Europe,2000,2988797.0
128,Southern Europe,2005,5000230.0
129,Southern Europe,2010,6984557.0
130,Southern Europe,2015,6589719.0
131,Southern Europe,2019,6869844.0
132,Western Africa,1990,2216185.0
133,Western Africa,1995,2716548.0
134,Western Africa,2000,2565659.0
135,Western Africa,2005,2578667.0
136,Western Africa,2010,2994211.0
137,Western Africa,2015,3480108.0
138,Western Africa,2019,3647692.0
139,Western Asia,1990,7862601.0
140,Western Asia,1995,8817442.0
141,Western Asia,2000,9600079.0
142,Western Asia,2005,11784781.0
143,Western Asia,2010,18162972.0
144,Western Asia,2015,23850739.0
145,Western Asia,2019,27440447.0
146,Western Europe,1990,7825719.0
147,Western Europe,1995,8672762.0
148,Western Europe,2000,9535048.0
149,Western Europe,2005,8880840.0
150,Western Europe,2010,10658381.0
151,Western Europe,2015,11543348.0
152,Western Europe,2019,13920213.0
