,Continent,Region,Female,Male
0,Africa,Eastern Africa,16793077.0,17649839.0
1,Africa,Middle Africa,5804684.0,6212133.0
2,Africa,Northern Africa,5540565.0,7223120.0
3,Africa,Southern Africa,4470085.0,6280499.0
4,Africa,Western Africa,17525421.0,20199070.0
5,Africa,Western Asia,61268573.0,107519061.0
6,America,Caribbean,4043692.0,4431577.0
7,America,Central America,5099652.0,5039251.0
8,America,North America,147112831.0,139352886.0
9,America,South America,15548788.0,15342855.0
10,Asia,Central Asia,14924927.0,12624130.0
11,Asia,Eastern Asia,18684654.0,17149814.0
12,Asia,South-Eastern Asia,20810326.0,22756587.0
13,Asia,Southern Asia,34504297.0,37169035.0
14,Europe,Eastern Europe,72235139.0,64796911.0
15,Europe,Northern Europe,35332949.0,32328614.0
16,Europe,Southern Europe,36502683.0,32658150.0
17,Europe,Western Europe,72236932.0,71036311.0
18,Oceania,Australia / New Zealand,16169796.0,15982031.0
19,Oceania,Melanesia,242731.0,313748.0
20,Oceania,Micronesia,309857.0,326586.0
21,Oceania,Polynesia,157570.0,193036.0
