,Continent,Region,Destination,Female_1990,Female_1995,Female_2000,Female_2005,Female_2010,Female_2015,Female_2019,Male_1990,Male_1995,Male_2000,Male_2005,Male_2010,Male_2015,Male_2019
0,Africa,Eastern Africa,Burundi,139444,109810,0,80117,0,133842,148255,134047,104307,0,76823,0,129127,143029
1,Africa,Eastern Africa,Comoros,6617,6583,0,6221,0,5828,5801,5943,5852,0,5562,0,5376,5355
2,Africa,Eastern Africa,Djibouti,54592,44535,44807,38394,45461,50159,51493,60029,49033,49446,47968,49798,55206,56675
3,Africa,Eastern Africa,Eritrea,4938,4885,4829,5252,5674,5703,5751,5408,5466,5527,6222,6916,7101,7173
4,Africa,Eastern Africa,Ethiopia,534112,365978,266392,222663,257318,527364,599872,591777,399323,283399,239772,285908,562152,625404
5,Africa,Eastern Africa,Kenya,92201,247972,319386,343807,452065,525331,486728,104529,263790,316754,368611,443663,522071,484429
6,Africa,Eastern Africa,Madagascar,7738,6790,7515,8284,9150,10111,11014,9765,8709,9712,10786,12001,13352,14541
7,Africa,Eastern Africa,Malawi,555649,48905,47216,45130,44402,50713,57489,531685,51260,49217,46764,45864,53486,59690
8,Africa,Eastern Africa,Mauritius,1624,4005,9386,10094,10902,11924,12034,1622,2931,5126,8389,12595,15109,15250
9,Africa,Eastern Africa,Mayotte,5243,11048,21701,31271,37464,38934,39277,7490,13958,23251,30818,33784,33525,33821
10,Africa,Eastern Africa,Mozambique,27984,38324,46032,68052,78804,84817,89461,33761,46609,52764,65576,75931,81649,86092
11,Africa,Eastern Africa,Rwanda,68886,98493,167208,202193,204361,254527,266047,70919,102784,170544,203679,206433,251270,264600
12,Africa,Eastern Africa,Réunion,20003,30270,42198,48395,51971,53997,54818,24101,34712,46668,54332,58863,60603,61531
13,Africa,Eastern Africa,Seychelles,1138,1815,2505,2985,3482,3681,3709,1809,2699,3590,5583,7571,8686,8777
14,Africa,Eastern Africa,Somalia,225139,8554,262,544,12845,6835,9691,234861,9490,293,615,13375,6840,9697
15,Africa,Eastern Africa,South Sudan,0,0,0,0,124123,412179,422848,0,0,0,0,131218,429446,440136
16,Africa,Eastern Africa,Uganda,251060,289158,292298,300074,249892,434166,896367,272844,298769,289455,290788,240551,414485,835256
17,Africa,Eastern Africa,United Republic of Tanzania,278127,547622,455893,272680,145421,168167,234499,272083,536558,470625,475533,145140,164655,228261
18,Africa,Eastern Africa,Zambia,52457,31071,43921,56542,37415,37087,51954,59237,36683,46752,60466,39236,38439,54365
19,Africa,Eastern Africa,Zimbabwe,258115,159191,144220,124812,109977,112371,114151,327865,211445,191390,165339,146292,145299,150449
20,Africa,Middle Africa,Angola,12519,15604,0,0,0,56683,66451,15121,17383,0,0,0,52155,91171
21,Africa,Middle Africa,Cameroon,98345,91753,85160,0,125200,245658,247326,114130,105925,97719,0,154079,242334,242039
22,Africa,Middle Africa,Central African Republic,26944,36014,41978,32059,31704,27869,30923,30363,39896,45944,35164,34820,30207,33596
23,Africa,Middle Africa,Chad,31802,38668,45531,187382,224210,245131,269087,37309,45234,53158,155592,181952,207493,227402
24,Africa,Middle Africa,Congo,56015,83323,133147,134263,173508,152831,157610,55130,83988,135144,161857,206616,187634,193317
25,Africa,Middle Africa,Democratic Republic of the Congo,100828,725250,148612,118088,89109,307857,386168,93716,714268,143048,113671,79329,296325,364650
26,Africa,Middle Africa,Equatorial Guinea,1071,1429,1783,2542,3296,4069,4474,1143,1505,1867,2783,3700,4677,5143
27,Africa,Middle Africa,Gabon,53670,71825,89209,96302,109405,131601,143095,70778,94603,118968,130702,153524,236039,256339
28,Africa,Middle Africa,Sao Tome and Principe,2302,2061,1710,1353,1067,949,861,2713,2229,1913,1493,1169,1031,935
29,Africa,Northern Africa,Algeria,40819,36952,0,0,0,33046,34360,47306,43869,0,0,0,37308,38804
30,Africa,Northern Africa,Egypt,74866,71669,79148,0,129397,136559,217573,84305,81157,89461,0,167246,194543,254297
