;Origin;Female;Male;Region;Continent;;;
2;Australia;1554480.0;1389064.0;Australia / New Zealand;Oceania;;;
139;New Zealand;1606293.0;1633984.0;Australia / New Zealand;Oceania;;;
1;Aruba;53873.0;42517.0;Caribbean;America;;;
5;Bahamas;142535.0;105088.0;Caribbean;America;;;
8;Barbados;351342.0;309694.0;Caribbean;America;;;
16;Bonaire, Sint Eustatius and Saba;27440.0;24784.0;Caribbean;America;;;
20;British Virgin Islands;19022.0;14945.0;Caribbean;America;;;
29;Cayman Islands;4648.0;3927.0;Caribbean;America;;;
43;Cuba;4459318.0;3979395.0;Caribbean;America;;;
44;Curaçao;244500.0;237372.0;Caribbean;America;;;
52;Dominica;235773.0;183546.0;Caribbean;America;;;
53;Dominican Republic;4205912.0;3041147.0;Caribbean;America;;;
77;Grenada;236881.0;189069.0;Caribbean;America;;;
78;Guadeloupe;37106.0;26201.0;Caribbean;America;;;
84;Haiti;3262615.0;3818498.0;Caribbean;America;;;
85;Holy See;531.0;394.0;Caribbean;America;;;
97;Jamaica;3412644.0;2665961.0;Caribbean;America;;;
121;Martinique;50103.0;43847.0;Caribbean;America;;;
130;Montserrat;61056.0;48620.0;Caribbean;America;;;
157;Puerto Rico;6049388.0;5097983.0;Caribbean;America;;;
166;Saint Kitts and Nevis;124687.0;103513.0;Caribbean;America;;;
167;Saint Lucia;174720.0;133049.0;Caribbean;America;;;
169;Saint Vincent and the Grenadines;192024.0;175485.0;Caribbean;America;;;
170;Samoa;297249.0;286092.0;Caribbean;America;;;
179;Sint Maarten (Dutch part);76884.0;76112.0;Caribbean;America;;;
200;Trinidad and Tobago;1224696.0;908110.0;Caribbean;America;;;
204;Turks and Caicos Islands;7620.0;5666.0;Caribbean;America;;;
205;Tuvalu;8766.0;8839.0;Caribbean;America;;;
211;United States Virgin Islands;10436.0;13319.0;Caribbean;America;;;
11;Belize;210731.0;153486.0;Central America;America;;;
41;Costa Rica;458450.0;338901.0;Central America;America;;;
56;El Salvador;4314074.0;4300510.0;Central America;America;;;
80;Guatemala;2652159.0;2676838.0;Central America;America;;;
86;Honduras;1901696.0;1392914.0;Central America;America;;;
125;Mexico;31356097.0;36416690.0;Central America;America;;;
126;Micronesia (Fed States of);50632.0;50561.0;Central America;America;;;
140;Nicaragua;1891261.0;1730342.0;Central America;America;;;
150;Panama;498744.0;483564.0;Central America;America;;;
100;Kazakhstan;13318135.0;11756188.0;Central Asia;Asia;;;
104;Kyrgyzstan;2318641.0;2167648.0;Central Asia;Asia;;;
194;Tajikistan;1720417.0;2108917.0;Central Asia;Asia;;;
203;Turkmenistan;852978.0;804002.0;Central Asia;Asia;;;
214;Uzbekistan;5613062.0;5736036.0;Central Asia;Asia;;;
24;Burundi;1716317.0;1900262.0;Eastern Africa;Africa;;;
38;Comoros;296949.0;305587.0;Eastern Africa;Africa;;;
51;Djibouti;38420.0;43028.0;Eastern Africa;Africa;;;
58;Eritrea;1435869.0;1564674.0;Eastern Africa;Africa;;;
61;Ethiopia;2746508.0;3012527.0;Eastern Africa;Africa;;;
101;Kenya;1356469.0;1249046.0;Eastern Africa;Africa;;;
114;Madagascar;505016.0;343010.0;Eastern Africa;Africa;;;
115;Malawi;632339.0;946028.0;Eastern Africa;Africa;;;
123;Mauritius;508868.0;421873.0;Eastern Africa;Africa;;;
124;Mayotte;19354.0;18564.0;Eastern Africa;Africa;;;
132;Mozambique;2824498.0;4241257.0;Eastern Africa;Africa;;;
163;Rwanda;2230489.0;2188631.0;Eastern Africa;Africa;;;
164;Réunion;10338.0;7152.0;Eastern Africa;Africa;;;
176;Seychelles;101131.0;82029.0;Eastern Africa;Africa;;;
183;Somalia;4523568.0;4934520.0;Eastern Africa;Africa;;;
185;South Sudan;2728441.0;2860780.0;Eastern Africa;Africa;;;
206;Uganda;1998290.0;1926443.0;Eastern Africa;Africa;;;
210;United Republic of Tanzania;846167.0;868962.0;Eastern Africa;Africa;;;
34;China;25396299.0;23452741.0;Eastern Asia;Asia;;;
