,Continent,Region,Year,Female,Male
0,Africa,Eastern Africa,1990,2585067.0,2749775.0
1,Africa,Eastern Africa,1995,2055009.0,2184378.0
2,Africa,Eastern Africa,2000,1915769.0,2014513.0
3,Africa,Eastern Africa,2005,1867510.0,2163626.0
4,Africa,Eastern Africa,2010,1880727.0,1955139.0
5,Africa,Eastern Africa,2015,2927736.0,2997877.0
6,Africa,Eastern Africa,2019,3561259.0,3584531.0
7,Africa,Middle Africa,1990,383496.0,420403.0
8,Africa,Middle Africa,1995,1065927.0,1105031.0
9,Africa,Middle Africa,2000,547130.0,597761.0
10,Africa,Middle Africa,2005,571989.0,601262.0
11,Africa,Middle Africa,2010,757499.0,815189.0
12,Africa,Middle Africa,2015,1172648.0,1257895.0
13,Africa,Middle Africa,2019,1305995.0,1414592.0
14,Africa,Northern Africa,1990,1041191.0,1074885.0
15,Africa,Northern Africa,1995,846403.0,951716.0
16,Africa,Northern Africa,2000,682356.0,861850.0
17,Africa,Northern Africa,2005,451874.0,718797.0
18,Africa,Northern Africa,2010,646892.0,981466.0
19,Africa,Northern Africa,2015,733027.0,1116136.0
20,Africa,Northern Africa,2019,1138822.0,1518270.0
21,Africa,Southern Africa,1990,434249.0,704105.0
22,Africa,Southern Africa,1995,377107.0,587036.0
23,Africa,Southern Africa,2000,363683.0,538334.0
24,Africa,Southern Africa,2005,477207.0,664678.0
25,Africa,Southern Africa,2010,680332.0,973511.0
26,Africa,Southern Africa,2015,1010056.0,1327570.0
27,Africa,Southern Africa,2019,1127451.0,1485265.0
28,Africa,Western Africa,1990,1919961.0,2216185.0
29,Africa,Western Africa,1995,2410224.0,2716548.0
30,Africa,Western Africa,2000,2251244.0,2565659.0
31,Africa,Western Africa,2005,2135987.0,2578667.0
32,Africa,Western Africa,2010,2550760.0,2994211.0
33,Africa,Western Africa,2015,3053809.0,3480108.0
34,Africa,Western Africa,2019,3203436.0,3647692.0
35,Africa,Western Asia,1990,5482232.0,7862601.0
36,Africa,Western Asia,1995,6003165.0,8817442.0
37,Africa,Western Asia,2000,6146829.0,9600079.0
38,Africa,Western Asia,2005,6915764.0,11784781.0
39,Africa,Western Asia,2010,9368846.0,18162972.0
40,Africa,Western Asia,2015,12778860.0,23850739.0
41,Africa,Western Asia,2019,14572877.0,27440447.0
42,America,Caribbean,1990,471982.0,515177.0
43,America,Caribbean,1995,519552.0,558334.0
44,America,Caribbean,2000,568234.0,602376.0
45,America,Caribbean,2005,580978.0,614961.0
46,America,Caribbean,2010,601450.0,631315.0
47,America,Caribbean,2015,643235.0,745073.0
48,America,Caribbean,2019,658261.0,764341.0
49,America,Central America,1990,818188.0,791222.0
50,America,Central America,1995,568757.0,556867.0
51,America,Central America,2000,522796.0,523816.0
52,America,Central America,2005,482956.0,485679.0
53,America,Central America,2010,856337.0,854017.0
