,Continent,Year,Female,Male
0,Africa,1990,11846196.0,15027954.0
1,Africa,1995,12757835.0,16362151.0
2,Africa,2000,11907011.0,16178196.0
3,Africa,2005,12420331.0,18511811.0
4,Africa,2010,15885056.0,25882488.0
5,Africa,2015,21676136.0,34030325.0
6,Africa,2019,24909840.0,39090797.0
7,America,1990,15824975.0,15033995.0
8,America,1995,19013209.0,18285619.0
9,America,2000,21728137.0,21186259.0
10,America,2005,20777799.0,20486362.0
11,America,2010,28703985.0,27292847.0
12,America,2015,31545846.0,29795093.0
13,America,2019,34211012.0,32086394.0
14,Asia,1990,12251937.0,12465484.0
15,Asia,1995,12351182.0,12325478.0
16,Asia,2000,10997956.0,10920110.0
17,Asia,2005,9564225.0,9672795.0
18,Asia,2010,12672912.0,12527732.0
19,Asia,2015,15383547.0,15656359.0
20,Asia,2019,15702445.0,16131608.0
21,Europe,1990,24177947.0,22689994.0
22,Europe,1995,25919607.0,24177773.0
23,Europe,2000,26902228.0,25010066.0
24,Europe,2005,28617244.0,26634760.0
25,Europe,2010,34383110.0,31730875.0
26,Europe,2015,36650530.0,33410829.0
27,Europe,2019,39657037.0,37165689.0
28,Oceania,1990,2276145.0,2371622.0
29,Oceania,1995,2421945.0,2468619.0
30,Oceania,2000,400907.0,394803.0
31,Oceania,2005,54151.0,60805.0
32,Oceania,2010,3463662.0,3418407.0
33,Oceania,2015,3915040.0,3852477.0
34,Oceania,2019,4348104.0,4248668.0
