,Continent,Region,Destination,Female,Male
0,Africa,Eastern Africa,Burundi,611468.0,587333.0
1,Africa,Eastern Africa,Comoros,31050.0,28088.0
2,Africa,Eastern Africa,Djibouti,329441.0,368155.0
3,Africa,Eastern Africa,Eritrea,37032.0,43813.0
4,Africa,Eastern Africa,Ethiopia,2773699.0,2987735.0
5,Africa,Eastern Africa,Kenya,2467490.0,2503847.0
6,Africa,Eastern Africa,Madagascar,60602.0,78866.0
7,Africa,Eastern Africa,Malawi,849504.0,837966.0
8,Africa,Eastern Africa,Mauritius,59969.0,61022.0
9,Africa,Eastern Africa,Mayotte,184938.0,176647.0
10,Africa,Eastern Africa,Mozambique,433474.0,442382.0
11,Africa,Eastern Africa,Rwanda,1261715.0,1270229.0
12,Africa,Eastern Africa,Réunion,301652.0,340810.0
13,Africa,Eastern Africa,Seychelles,19315.0,38715.0
14,Africa,Eastern Africa,Somalia,263870.0,275171.0
15,Africa,Eastern Africa,South Sudan,959150.0,1000800.0
16,Africa,Eastern Africa,Uganda,2713015.0,2642148.0
17,Africa,Eastern Africa,United Republic of Tanzania,2102409.0,2292855.0
18,Africa,Eastern Africa,Zambia,310447.0,335178.0
19,Africa,Eastern Africa,Zimbabwe,1022837.0,1338079.0
20,Africa,Middle Africa,Angola,151257.0,175830.0
21,Africa,Middle Africa,Cameroon,893442.0,956226.0
22,Africa,Middle Africa,Central African Republic,227491.0,249990.0
23,Africa,Middle Africa,Chad,1041811.0,908140.0
24,Africa,Middle Africa,Congo,890697.0,1023686.0
25,Africa,Middle Africa,Democratic Republic of the Congo,1875912.0,1805007.0
26,Africa,Middle Africa,Equatorial Guinea,18664.0,20818.0
27,Africa,Middle Africa,Gabon,695107.0,1060953.0
28,Africa,Middle Africa,Sao Tome and Principe,10303.0,11483.0
29,Africa,Northern Africa,Algeria,145177.0,167287.0
30,Africa,Northern Africa,Egypt,709212.0,871009.0
31,Africa,Northern Africa,Libya,1409126.0,2893832.0
32,Africa,Northern Africa,Morocco,154363.0,160045.0
33,Africa,Northern Africa,Sudan,3026976.0,3027182.0
34,Africa,Northern Africa,Tunisia,84516.0,88607.0
35,Africa,Northern Africa,Western Sahara,11195.0,15158.0
36,Africa,Southern Africa,Botswana,42359.0,64636.0
37,Africa,Southern Africa,Eswatini,95034.0,101830.0
38,Africa,Southern Africa,Lesotho,12947.0,13940.0
39,Africa,Southern Africa,Namibia,184388.0,185384.0
40,Africa,Southern Africa,South Africa,4135357.0,5914709.0
