,Continent,Region,Origin,Female,Male
0,Africa,Eastern Africa,Australia,765.0,795.0
1,Africa,Eastern Africa,Bangladesh,18893.0,10803.0
2,Africa,Eastern Africa,Belgium,1912.0,2107.0
3,Africa,Eastern Africa,Botswana,13344.0,16659.0
4,Africa,Eastern Africa,Burundi,1436024.0,1650244.0
5,Africa,Eastern Africa,Cabo Verde,16676.0,18366.0
6,Africa,Eastern Africa,Cameroon,360.0,479.0
7,Africa,Eastern Africa,Canada,2124.0,2620.0
8,Africa,Eastern Africa,Central African Republic,6206.0,8224.0
9,Africa,Eastern Africa,Chad,6440.0,9386.0
10,Africa,Eastern Africa,China,26811.0,18870.0
11,Africa,Eastern Africa,"China, Hong Kong SAR",97.0,151.0
12,Africa,Eastern Africa,Comoros,183719.0,185423.0
13,Africa,Eastern Africa,Congo,110084.0,111359.0
14,Africa,Eastern Africa,Cuba,189.0,412.0
15,Africa,Eastern Africa,Côte d'Ivoire,338.0,76.0
16,Africa,Eastern Africa,Dem People's Republic of Korea,173.0,586.0
17,Africa,Eastern Africa,Democratic Republic of the Congo,1984598.0,1984138.0
18,Africa,Eastern Africa,Denmark,549.0,558.0
19,Africa,Eastern Africa,Djibouti,8753.0,10776.0
20,Africa,Eastern Africa,Egypt,6831.0,10028.0
21,Africa,Eastern Africa,Eritrea,309402.0,324172.0
22,Africa,Eastern Africa,Eswatini,170.0,359.0
23,Africa,Eastern Africa,Ethiopia,423838.0,446636.0
24,Africa,Eastern Africa,France,271717.0,326053.0
25,Africa,Eastern Africa,Gambia,0.0,56.0
26,Africa,Eastern Africa,Germany,4743.0,5541.0
27,Africa,Eastern Africa,Ghana,531.0,1155.0
28,Africa,Eastern Africa,Greece,133.0,122.0
29,Africa,Eastern Africa,Hungary,58.0,2.0
30,Africa,Eastern Africa,India,73964.0,130078.0
31,Africa,Eastern Africa,Indonesia,148.0,779.0
32,Africa,Eastern Africa,Ireland,101.0,117.0
33,Africa,Eastern Africa,Italy,2225.0,5069.0
34,Africa,Eastern Africa,Japan,728.0,1235.0
35,Africa,Eastern Africa,Kenya,346835.0,289192.0
36,Africa,Eastern Africa,Lesotho,22584.0,18568.0
37,Africa,Eastern Africa,Libya,270.0,312.0
38,Africa,Eastern Africa,Madagascar,91997.0,85034.0
39,Africa,Eastern Africa,Malawi,496946.0,607461.0
40,Africa,Eastern Africa,Malaysia,188.0,154.0
41,Africa,Eastern Africa,Maldives,50.0,81.0
42,Africa,Eastern Africa,Mali,673.0,1415.0
43,Africa,Eastern Africa,Mauritania,17.0,58.0
44,Africa,Eastern Africa,Mauritius,15116.0,15327.0
45,Africa,Eastern Africa,Mayotte,19246.0,18426.0
46,Africa,Eastern Africa,Mozambique,1546638.0,1729216.0
47,Africa,Eastern Africa,Namibia,4278.0,5149.0
48,Africa,Eastern Africa,Nepal,150.0,555.0
49,Africa,Eastern Africa,Netherlands,682.0,680.0
50,Africa,Eastern Africa,Nigeria,19964.0,21413.0
51,Africa,Eastern Africa,Norway,0.0,53.0
52,Africa,Eastern Africa,Pakistan,5975.0,10326.0
53,Africa,Eastern Africa,Philippines,1225.0,2024.0
54,Africa,Eastern Africa,Portugal,8142.0,15234.0
55,Africa,Eastern Africa,Republic of Korea,722.0,168.0
56,Africa,Eastern Africa,Russian Federation,1552.0,1128.0
57,Africa,Eastern Africa,Rwanda,1075343.0,1056769.0
58,Africa,Eastern Africa,Réunion,2109.0,2390.0
59,Africa,Eastern Africa,Senegal,205.0,908.0
60,Africa,Eastern Africa,Seychelles,47719.0,42118.0
61,Africa,Eastern Africa,Somalia,2769571.0,2920900.0
62,Africa,Eastern Africa,South Africa,147328.0,161624.0
63,Africa,Eastern Africa,South Sudan,1763731.0,1894365.0
64,Africa,Eastern Africa,Spain,372.0,242.0
65,Africa,Eastern Africa,Sri Lanka,3961.0,3256.0
66,Africa,Eastern Africa,Sudan,1483815.0,1470172.0
67,Africa,Eastern Africa,Sweden,0.0,182.0
68,Africa,Eastern Africa,Switzerland,131.0,331.0
69,Africa,Eastern Africa,Thailand,1170.0,576.0
70,Africa,Eastern Africa,Togo,83.0,137.0
71,Africa,Eastern Africa,Uganda,1422905.0,1385671.0
72,Africa,Eastern Africa,United Kingdom,69033.0,87055.0
73,Africa,Eastern Africa,United Republic of Tanzania,501104.0,508091.0
74,Africa,Eastern Africa,United States of America,8603.0,9644.0
75,Africa,Middle Africa,Australia,34.0,49.0
76,Africa,Middle Africa,Austria,57.0,114.0
77,Africa,Middle Africa,Belgium,905.0,1275.0
78,Africa,Middle Africa,Benin,138821.0,162366.0
79,Africa,Middle Africa,Brazil,0.0,0.0
80,Africa,Middle Africa,Burkina Faso,11167.0,19335.0
81,Africa,Middle Africa,Burundi,190285.0,168336.0
82,Africa,Middle Africa,Cabo Verde,21051.0,21117.0
83,Africa,Middle Africa,Cameroon,235178.0,258365.0
84,Africa,Middle Africa,Canada,1423.0,1631.0
85,Africa,Middle Africa,Central African Republic,857363.0,858050.0
86,Africa,Middle Africa,Chad,246639.0,277991.0
